year,city,state,city_tier,population_approx,median_salary_gross_usd_monthly,median_salary_net_usd_monthly,median_salary_gross_usd_annual,national_median_gross_usd_monthly,national_median_gross_usd_annual,national_mean_gross_usd_monthly,fed_min_wage_usd_hourly,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_usd,rent_1br_outside_center_usd,meal_cheap_restaurant_usd,groceries_monthly_usd,public_transport_monthly_usd,est_monthly_cost_single_usd,affordability_ratio,rent_to_income_pct,data_source
2014,Phoenix,Arizona,city_large,1608000,2889,2109,34668,2962,35540,3936,7.25,0.975,1.6,71.6,1209,907,13,335,60,1675,1.26,31.4,numbeo
2015,Phoenix,Arizona,city_large,1608000,2921,2132,35052,3017,36200,4027,7.25,0.968,0.1,70.8,1210,897,12,339,61,1650,1.29,30.7,numbeo
2016,Phoenix,Arizona,city_large,1608000,3048,2225,36576,3087,37040,4136,7.25,0.987,1.3,71.6,1253,919,12,332,60,1666,1.34,30.2,numbeo
2017,Phoenix,Arizona,city_large,1608000,3227,2356,38724,3141,37690,4218,7.25,1.027,2.1,71.3,1277,964,12,340,62,1723,1.37,29.9,numbeo
2018,Phoenix,Arizona,city_large,1608000,3251,2373,39012,3220,38640,4330,7.25,1.01,2.4,71.1,1306,935,12,373,64,1732,1.37,28.8,numbeo
2019,Phoenix,Arizona,city_large,1608000,3247,2370,38964,3318,39810,4458,7.25,0.979,1.8,72.3,1367,991,13,372,64,1809,1.31,30.5,numbeo
2020,Phoenix,Arizona,city_large,1608000,3499,2554,41988,3496,41950,4692,7.25,1.001,1.2,72.5,1289,953,14,375,64,1796,1.42,27.2,numbeo
2021,Phoenix,Arizona,city_large,1608000,3900,2847,46800,3813,45760,4855,7.25,1.023,4.7,72.7,1354,1048,14,399,70,1927,1.48,26.9,numbeo
2022,Phoenix,Arizona,city_large,1608000,4014,2930,48168,3859,46310,5158,7.25,1.04,8.0,73.0,1429,1093,16,435,72,2060,1.42,27.2,numbeo
2023,Phoenix,Arizona,city_large,1608000,4053,2959,48636,4005,48060,5456,7.25,1.012,4.1,72.9,1590,1127,16,452,80,2125,1.39,27.8,numbeo
2024,Phoenix,Arizona,city_large,1608000,4278,3123,51336,4167,50000,5660,7.25,1.027,2.9,73.4,1590,1229,15,467,79,2225,1.4,28.7,numbeo
2010,Tucson,Arizona,city_large,542000,2417,1764,29004,2820,33840,3622,7.25,0.857,1.6,62.8,1068,829,11,313,57,1523,1.16,34.3,numbeo
2011,Tucson,Arizona,city_large,542000,2323,1696,27876,2872,34460,3701,7.25,0.809,3.2,61.9,1185,897,12,311,58,1614,1.05,38.6,numbeo
2012,Tucson,Arizona,city_large,542000,2428,1772,29136,2896,34750,3769,7.25,0.838,2.1,62.6,1151,913,12,340,59,1662,1.07,37.6,numbeo
2013,Tucson,Arizona,city_large,542000,2419,1766,29028,2923,35080,3870,7.25,0.828,1.5,63.3,1169,911,12,341,59,1663,1.06,37.7,numbeo
2014,Tucson,Arizona,city_large,542000,2428,1772,29136,2962,35540,3936,7.25,0.82,1.6,63.1,1242,863,12,343,59,1618,1.1,35.5,numbeo
2015,Tucson,Arizona,city_large,542000,2637,1925,31644,3017,36200,4027,7.25,0.874,0.1,64.0,1156,924,12,345,60,1682,1.14,35.0,numbeo
2016,Tucson,Arizona,city_large,542000,2661,1943,31932,3087,37040,4136,7.25,0.862,1.3,64.3,1259,875,13,346,63,1659,1.17,32.9,numbeo
2017,Tucson,Arizona,city_large,542000,2625,1916,31500,3141,37690,4218,7.25,0.836,2.1,63.3,1228,935,13,361,63,1736,1.1,35.6,numbeo
2018,Tucson,Arizona,city_large,542000,2701,1972,32412,3220,38640,4330,7.25,0.839,2.4,64.5,1265,950,13,365,65,1760,1.12,35.2,numbeo
2019,Tucson,Arizona,city_large,542000,2819,2058,33828,3318,39810,4458,7.25,0.85,1.8,64.6,1345,973,13,361,66,1782,1.15,34.5,numbeo
2020,Tucson,Arizona,city_large,542000,2980,2175,35760,3496,41950,4692,7.25,0.852,1.2,63.7,1373,964,13,373,64,1785,1.22,32.3,numbeo
2021,Tucson,Arizona,city_large,542000,3254,2375,39048,3813,45760,4855,7.25,0.853,4.7,64.6,1406,1045,14,382,67,1904,1.25,32.1,numbeo
2022,Tucson,Arizona,city_large,542000,3315,2420,39780,3859,46310,5158,7.25,0.859,8.0,65.2,1480,1086,15,428,74,2028,1.19,32.8,numbeo
2023,Tucson,Arizona,city_large,542000,3614,2638,43368,4005,48060,5456,7.25,0.902,4.1,64.4,1483,1196,16,443,76,2181,1.21,33.1,numbeo
2024,Tucson,Arizona,city_large,542000,3677,2684,44124,4167,50000,5660,7.25,0.882,2.9,64.5,1595,1170,16,457,79,2176,1.23,31.8,numbeo
2010,Albuquerque,New Mexico,city_large,564000,2452,1790,29424,2820,33840,3622,7.25,0.87,1.6,60.8,1113,859,11,309,56,1548,1.16,35.0,numbeo
2011,Albuquerque,New Mexico,city_large,564000,2360,1723,28320,2872,34460,3701,7.25,0.822,3.2,60.0,1157,849,11,313,56,1546,1.11,36.0,numbeo
2012,Albuquerque,New Mexico,city_large,564000,2521,1840,30252,2896,34750,3769,7.25,0.871,2.1,60.4,1230,870,12,339,59,1618,1.14,34.5,numbeo
2013,Albuquerque,New Mexico,city_large,564000,2516,1837,30192,2923,35080,3870,7.25,0.861,1.5,60.5,1175,894,12,345,59,1650,1.11,35.5,numbeo
2014,Albuquerque,New Mexico,city_large,564000,2632,1921,31584,2962,35540,3936,7.25,0.889,1.6,61.7,1252,867,12,345,61,1626,1.18,32.9,numbeo
2015,Albuquerque,New Mexico,city_large,564000,2633,1922,31596,3017,36200,4027,7.25,0.873,0.1,60.9,1232,869,12,339,59,1620,1.19,33.0,numbeo
2016,Albuquerque,New Mexico,city_large,564000,2612,1907,31344,3087,37040,4136,7.25,0.846,1.3,61.1,1199,935,12,341,60,1691,1.13,35.8,numbeo
2017,Albuquerque,New Mexico,city_large,564000,2791,2037,33492,3141,37690,4218,7.25,0.889,2.1,61.6,1240,957,12,363,62,1739,1.17,34.3,numbeo
2018,Albuquerque,New Mexico,city_large,564000,2809,2051,33708,3220,38640,4330,7.25,0.872,2.4,62.0,1246,982,12,371,67,1780,1.15,35.0,numbeo
2019,Albuquerque,New Mexico,city_large,564000,2866,2092,34392,3318,39810,4458,7.25,0.864,1.8,61.6,1340,936,13,361,63,1742,1.2,32.7,numbeo
2020,Albuquerque,New Mexico,city_large,564000,3015,2201,36180,3496,41950,4692,7.25,0.862,1.2,61.9,1338,1017,14,379,66,1866,1.18,33.7,numbeo
2021,Albuquerque,New Mexico,city_large,564000,3343,2440,40116,3813,45760,4855,7.25,0.877,4.7,62.3,1385,1043,14,402,70,1925,1.27,31.2,numbeo
2022,Albuquerque,New Mexico,city_large,564000,3318,2422,39816,3859,46310,5158,7.25,0.86,8.0,62.1,1564,1166,15,424,77,2107,1.15,35.1,numbeo
2023,Albuquerque,New Mexico,city_large,564000,3487,2546,41844,4005,48060,5456,7.25,0.871,4.1,62.2,1481,1157,15,436,79,2118,1.2,33.2,numbeo
2024,Albuquerque,New Mexico,city_large,564000,3717,2713,44604,4167,50000,5660,7.25,0.892,2.9,63.4,1539,1213,15,435,80,2178,1.25,32.6,numbeo
2010,Oklahoma City,Oklahoma,city_large,681000,2344,1711,28128,2820,33840,3622,7.25,0.831,1.6,56.5,1058,820,11,318,58,1520,1.13,35.0,numbeo
2011,Oklahoma City,Oklahoma,city_large,681000,2419,1766,29028,2872,34460,3701,7.25,0.842,3.2,56.2,1184,871,11,334,57,1590,1.11,36.0,numbeo
2012,Oklahoma City,Oklahoma,city_large,681000,2322,1695,27864,2896,34750,3769,7.25,0.802,2.1,56.8,1136,890,11,336,60,1616,1.05,38.3,numbeo
2013,Oklahoma City,Oklahoma,city_large,681000,2483,1813,29796,2923,35080,3870,7.25,0.849,1.5,56.5,1217,881,12,336,60,1629,1.11,35.5,numbeo
2014,Oklahoma City,Oklahoma,city_large,681000,2448,1787,29376,2962,35540,3936,7.25,0.826,1.6,57.7,1205,915,12,343,59,1670,1.07,37.4,numbeo
2015,Oklahoma City,Oklahoma,city_large,681000,2564,1872,30768,3017,36200,4027,7.25,0.85,0.1,56.8,1191,918,12,345,58,1674,1.12,35.8,numbeo
2016,Oklahoma City,Oklahoma,city_large,681000,2647,1932,31764,3087,37040,4136,7.25,0.857,1.3,58.3,1263,924,13,332,62,1693,1.14,34.9,numbeo
2017,Oklahoma City,Oklahoma,city_large,681000,2606,1902,31272,3141,37690,4218,7.25,0.83,2.1,58.3,1224,896,12,346,64,1663,1.14,34.4,numbeo
2018,Oklahoma City,Oklahoma,city_large,681000,2638,1926,31656,3220,38640,4330,7.25,0.819,2.4,57.9,1272,986,13,369,66,1801,1.07,37.4,numbeo
2019,Oklahoma City,Oklahoma,city_large,681000,2809,2051,33708,3318,39810,4458,7.25,0.847,1.8,57.8,1328,1023,13,364,63,1832,1.12,36.4,numbeo
2020,Oklahoma City,Oklahoma,city_large,681000,2969,2167,35628,3496,41950,4692,7.25,0.849,1.2,58.3,1383,978,13,370,68,1800,1.2,32.9,numbeo
2021,Oklahoma City,Oklahoma,city_large,681000,3181,2322,38172,3813,45760,4855,7.25,0.834,4.7,57.8,1417,997,14,389,70,1866,1.24,31.3,numbeo
2022,Oklahoma City,Oklahoma,city_large,681000,3258,2378,39096,3859,46310,5158,7.25,0.844,8.0,58.9,1515,1094,15,409,75,2018,1.18,33.6,numbeo
2023,Oklahoma City,Oklahoma,city_large,681000,3341,2439,40092,4005,48060,5456,7.25,0.834,4.1,59.6,1527,1213,16,450,76,2205,1.11,36.3,numbeo
2024,Oklahoma City,Oklahoma,city_large,681000,3584,2616,43008,4167,50000,5660,7.25,0.86,2.9,59.3,1539,1256,16,460,77,2263,1.16,35.0,numbeo
2010,Tulsa,Oklahoma,city_medium,413000,2466,1800,29592,2820,33840,3622,7.25,0.874,1.6,53.3,804,680,9,275,45,1284,1.4,27.6,bls_modeled
2011,Tulsa,Oklahoma,city_medium,413000,2532,1848,30384,2872,34460,3701,7.25,0.882,3.2,54.6,894,682,10,277,48,1315,1.41,26.9,bls_modeled
2012,Tulsa,Oklahoma,city_medium,413000,2429,1773,29148,2896,34750,3769,7.25,0.839,2.1,54.3,883,700,10,277,47,1334,1.33,28.8,bls_modeled
2013,Tulsa,Oklahoma,city_medium,413000,2578,1882,30936,2923,35080,3870,7.25,0.882,1.5,53.7,915,702,11,296,47,1377,1.37,27.2,bls_modeled
2014,Tulsa,Oklahoma,city_medium,413000,2515,1836,30180,2962,35540,3936,7.25,0.849,1.6,54.2,865,750,11,289,51,1423,1.29,29.8,bls_modeled
2015,Tulsa,Oklahoma,city_medium,413000,2703,1973,32436,3017,36200,4027,7.25,0.896,0.1,54.9,945,707,11,290,48,1378,1.43,26.2,bls_modeled
2016,Tulsa,Oklahoma,city_medium,413000,2700,1971,32400,3087,37040,4136,7.25,0.875,1.3,54.6,932,736,11,308,48,1427,1.38,27.3,bls_modeled
2017,Tulsa,Oklahoma,city_medium,413000,2681,1957,32172,3141,37690,4218,7.25,0.854,2.1,55.9,913,767,11,304,53,1461,1.34,28.6,bls_modeled
2018,Tulsa,Oklahoma,city_medium,413000,2900,2117,34800,3220,38640,4330,7.25,0.901,2.4,55.7,968,728,11,322,50,1440,1.47,25.1,bls_modeled
2019,Tulsa,Oklahoma,city_medium,413000,2876,2099,34512,3318,39810,4458,7.25,0.867,1.8,55.0,976,748,12,331,53,1494,1.4,26.0,bls_modeled
2020,Tulsa,Oklahoma,city_medium,413000,3021,2205,36252,3496,41950,4692,7.25,0.864,1.2,56.3,1027,749,11,324,53,1470,1.5,24.8,bls_modeled
2021,Tulsa,Oklahoma,city_medium,413000,3372,2462,40464,3813,45760,4855,7.25,0.884,4.7,56.6,1077,856,12,346,54,1626,1.51,25.4,bls_modeled
2022,Tulsa,Oklahoma,city_medium,413000,3325,2427,39900,3859,46310,5158,7.25,0.862,8.0,56.0,1171,922,13,371,59,1752,1.39,27.7,bls_modeled
2023,Tulsa,Oklahoma,city_medium,413000,3667,2677,44004,4005,48060,5456,7.25,0.916,4.1,56.9,1183,946,13,376,64,1792,1.49,25.8,bls_modeled
2024,Tulsa,Oklahoma,city_medium,413000,3714,2711,44568,4167,50000,5660,7.25,0.891,2.9,57.5,1162,972,15,380,63,1865,1.45,26.2,bls_modeled
2010,Denver,Colorado,city_large,715000,3190,2329,38280,2820,33840,3622,7.25,1.131,1.6,80.4,1102,842,12,320,56,1562,1.49,26.4,numbeo
2011,Denver,Colorado,city_large,715000,3112,2272,37344,2872,34460,3701,7.25,1.084,3.2,80.5,1153,832,11,324,56,1540,1.48,26.7,numbeo
2012,Denver,Colorado,city_large,715000,3257,2378,39084,2896,34750,3769,7.25,1.125,2.1,80.9,1166,846,11,328,57,1561,1.52,26.0,numbeo
2013,Denver,Colorado,city_large,715000,3274,2390,39288,2923,35080,3870,7.25,1.12,1.5,80.1,1221,927,12,335,60,1674,1.43,28.3,numbeo
2014,Denver,Colorado,city_large,715000,3313,2418,39756,2962,35540,3936,7.25,1.119,1.6,80.3,1199,914,12,346,60,1673,1.45,27.6,numbeo
2015,Denver,Colorado,city_large,715000,3490,2548,41880,3017,36200,4027,7.25,1.157,0.1,80.5,1263,879,13,334,59,1645,1.55,25.2,numbeo
2016,Denver,Colorado,city_large,715000,3619,2642,43428,3087,37040,4136,7.25,1.172,1.3,81.1,1194,875,12,336,61,1627,1.62,24.2,numbeo
2017,Denver,Colorado,city_large,715000,3586,2618,43032,3141,37690,4218,7.25,1.142,2.1,81.8,1308,952,13,348,64,1741,1.5,26.5,numbeo
2018,Denver,Colorado,city_large,715000,3791,2767,45492,3220,38640,4330,7.25,1.177,2.4,81.4,1326,971,13,367,64,1782,1.55,25.6,numbeo
2019,Denver,Colorado,city_large,715000,4009,2927,48108,3318,39810,4458,7.25,1.208,1.8,82.3,1331,977,13,355,63,1777,1.65,24.4,numbeo
2020,Denver,Colorado,city_large,715000,4219,3080,50628,3496,41950,4692,7.25,1.207,1.2,82.8,1324,1037,13,374,68,1863,1.65,24.6,numbeo
2021,Denver,Colorado,city_large,715000,4725,3449,56700,3813,45760,4855,7.25,1.239,4.7,83.1,1359,1064,14,379,68,1921,1.8,22.5,numbeo
2022,Denver,Colorado,city_large,715000,4869,3554,58428,3859,46310,5158,7.25,1.262,8.0,82.2,1517,1095,15,422,74,2031,1.75,22.5,numbeo
2023,Denver,Colorado,city_large,715000,4933,3601,59196,4005,48060,5456,7.25,1.232,4.1,82.2,1574,1112,16,431,75,2084,1.73,22.5,numbeo
2024,Denver,Colorado,city_large,715000,5277,3852,63324,4167,50000,5660,7.25,1.266,2.9,82.4,1674,1179,16,466,78,2193,1.76,22.3,numbeo
2010,Colorado Springs,Colorado,city_medium,478000,3219,2350,38628,2820,33840,3622,7.25,1.141,1.6,58.6,864,691,9,266,44,1285,1.83,21.5,bls_modeled
2011,Colorado Springs,Colorado,city_medium,478000,3308,2415,39696,2872,34460,3701,7.25,1.152,3.2,59.1,846,670,10,279,46,1303,1.85,20.3,bls_modeled
2012,Colorado Springs,Colorado,city_medium,478000,3349,2445,40188,2896,34750,3769,7.25,1.156,2.1,58.6,919,681,10,280,48,1319,1.85,20.3,bls_modeled
2013,Colorado Springs,Colorado,city_medium,478000,3387,2473,40644,2923,35080,3870,7.25,1.159,1.5,60.5,849,683,10,302,50,1347,1.84,20.2,bls_modeled
2014,Colorado Springs,Colorado,city_medium,478000,3463,2528,41556,2962,35540,3936,7.25,1.169,1.6,60.0,922,716,11,298,49,1396,1.81,20.7,bls_modeled
2015,Colorado Springs,Colorado,city_medium,478000,3457,2524,41484,3017,36200,4027,7.25,1.146,0.1,60.1,934,713,11,306,50,1402,1.8,20.6,bls_modeled
2016,Colorado Springs,Colorado,city_medium,478000,3629,2649,43548,3087,37040,4136,7.25,1.176,1.3,61.4,875,746,10,311,50,1422,1.86,20.6,bls_modeled
2017,Colorado Springs,Colorado,city_medium,478000,3816,2786,45792,3141,37690,4218,7.25,1.215,2.1,60.9,945,758,11,302,50,1447,1.93,19.9,bls_modeled
2018,Colorado Springs,Colorado,city_medium,478000,3905,2851,46860,3220,38640,4330,7.25,1.213,2.4,62.3,961,783,11,315,53,1491,1.91,20.1,bls_modeled
2019,Colorado Springs,Colorado,city_medium,478000,3942,2878,47304,3318,39810,4458,7.25,1.188,1.8,61.3,1002,790,11,316,54,1502,1.92,20.0,bls_modeled
2020,Colorado Springs,Colorado,city_medium,478000,4277,3122,51324,3496,41950,4692,7.25,1.223,1.2,61.8,1033,797,12,317,56,1534,2.04,18.6,bls_modeled
2021,Colorado Springs,Colorado,city_medium,478000,4662,3403,55944,3813,45760,4855,7.25,1.223,4.7,63.6,1025,791,12,346,54,1561,2.18,17.0,bls_modeled
2022,Colorado Springs,Colorado,city_medium,478000,4933,3601,59196,3859,46310,5158,7.25,1.278,8.0,63.9,1134,900,13,356,60,1716,2.1,18.2,bls_modeled
2023,Colorado Springs,Colorado,city_medium,478000,5087,3714,61044,4005,48060,5456,7.25,1.27,4.1,63.4,1137,946,13,367,61,1780,2.09,18.6,bls_modeled
2024,Colorado Springs,Colorado,city_medium,478000,5453,3981,65436,4167,50000,5660,7.25,1.309,2.9,63.3,1199,935,13,391,65,1801,2.21,17.1,bls_modeled
2010,Salt Lake City,Utah,city_large,200000,2780,2029,33360,2820,33840,3622,7.25,0.986,1.6,70.2,1082,843,11,302,57,1526,1.33,30.3,numbeo
2011,Salt Lake City,Utah,city_large,200000,2953,2156,35436,2872,34460,3701,7.25,1.028,3.2,69.7,1180,848,12,322,58,1576,1.37,28.7,numbeo
2012,Salt Lake City,Utah,city_large,200000,2926,2136,35112,2896,34750,3769,7.25,1.01,2.1,71.1,1145,921,12,319,57,1647,1.3,31.5,numbeo
2013,Salt Lake City,Utah,city_large,200000,2898,2116,34776,2923,35080,3870,7.25,0.991,1.5,70.0,1168,919,12,332,60,1663,1.27,31.7,numbeo
2014,Salt Lake City,Utah,city_large,200000,3160,2307,37920,2962,35540,3936,7.25,1.067,1.6,70.9,1179,903,12,336,62,1654,1.39,28.6,numbeo
2015,Salt Lake City,Utah,city_large,200000,3175,2318,38100,3017,36200,4027,7.25,1.052,0.1,70.4,1230,884,12,351,60,1648,1.41,27.8,numbeo
2016,Salt Lake City,Utah,city_large,200000,3172,2316,38064,3087,37040,4136,7.25,1.028,1.3,71.0,1213,916,12,353,61,1685,1.37,28.9,numbeo
2017,Salt Lake City,Utah,city_large,200000,3409,2489,40908,3141,37690,4218,7.25,1.085,2.1,70.7,1234,945,13,366,61,1749,1.42,27.7,numbeo
2018,Salt Lake City,Utah,city_large,200000,3533,2579,42396,3220,38640,4330,7.25,1.097,2.4,72.1,1270,991,13,353,65,1789,1.44,28.0,numbeo
2019,Salt Lake City,Utah,city_large,200000,3482,2542,41784,3318,39810,4458,7.25,1.049,1.8,72.7,1290,990,13,380,67,1819,1.4,28.4,numbeo
2020,Salt Lake City,Utah,city_large,200000,3806,2778,45672,3496,41950,4692,7.25,1.089,1.2,72.1,1324,976,14,371,65,1816,1.53,25.6,numbeo
2021,Salt Lake City,Utah,city_large,200000,4085,2982,49020,3813,45760,4855,7.25,1.071,4.7,73.0,1401,1041,13,396,67,1894,1.57,25.5,numbeo
2022,Salt Lake City,Utah,city_large,200000,4250,3102,51000,3859,46310,5158,7.25,1.101,8.0,72.2,1510,1143,15,414,72,2069,1.5,26.9,numbeo
2023,Salt Lake City,Utah,city_large,200000,4459,3255,53508,4005,48060,5456,7.25,1.113,4.1,72.9,1623,1132,15,450,80,2108,1.54,25.4,numbeo
2024,Salt Lake City,Utah,city_large,200000,4496,3282,53952,4167,50000,5660,7.25,1.079,2.9,72.8,1597,1240,17,433,81,2244,1.46,27.6,numbeo
2010,Las Vegas,Nevada,city_large,641000,2578,1882,30936,2820,33840,3622,7.25,0.914,1.6,67.5,1106,818,11,305,54,1501,1.25,31.7,numbeo
2011,Las Vegas,Nevada,city_large,641000,2728,1991,32736,2872,34460,3701,7.25,0.95,3.2,68.1,1107,824,12,322,56,1550,1.28,30.2,numbeo
2012,Las Vegas,Nevada,city_large,641000,2663,1944,31956,2896,34750,3769,7.25,0.92,2.1,68.0,1133,880,11,340,60,1610,1.21,33.0,numbeo
2013,Las Vegas,Nevada,city_large,641000,2675,1953,32100,2923,35080,3870,7.25,0.915,1.5,68.2,1208,918,12,338,60,1668,1.17,34.3,numbeo
2014,Las Vegas,Nevada,city_large,641000,2763,2017,33156,2962,35540,3936,7.25,0.933,1.6,68.9,1234,922,12,351,61,1687,1.2,33.4,numbeo
2015,Las Vegas,Nevada,city_large,641000,2907,2122,34884,3017,36200,4027,7.25,0.964,0.1,68.4,1215,948,13,353,61,1735,1.22,32.6,numbeo
2016,Las Vegas,Nevada,city_large,641000,2863,2090,34356,3087,37040,4136,7.25,0.927,1.3,68.7,1186,963,13,352,60,1750,1.19,33.6,numbeo
2017,Las Vegas,Nevada,city_large,641000,2957,2159,35484,3141,37690,4218,7.25,0.941,2.1,68.9,1312,898,13,351,63,1689,1.28,30.4,numbeo
2018,Las Vegas,Nevada,city_large,641000,2967,2166,35604,3220,38640,4330,7.25,0.921,2.4,69.6,1298,1008,13,353,64,1805,1.2,34.0,numbeo
2019,Las Vegas,Nevada,city_large,641000,3088,2254,37056,3318,39810,4458,7.25,0.931,1.8,69.2,1370,1027,12,368,63,1820,1.24,33.3,numbeo
2020,Las Vegas,Nevada,city_large,641000,3352,2447,40224,3496,41950,4692,7.25,0.959,1.2,70.5,1385,1026,13,369,67,1846,1.33,30.6,numbeo
2021,Las Vegas,Nevada,city_large,641000,3651,2665,43812,3813,45760,4855,7.25,0.958,4.7,71.1,1399,994,14,379,68,1851,1.44,27.2,numbeo
2022,Las Vegas,Nevada,city_large,641000,3783,2762,45396,3859,46310,5158,7.25,0.98,8.0,70.8,1529,1099,15,405,73,2017,1.37,29.1,numbeo
2023,Las Vegas,Nevada,city_large,641000,3717,2713,44604,4005,48060,5456,7.25,0.928,4.1,71.3,1493,1224,16,427,80,2197,1.23,32.9,numbeo
2024,Las Vegas,Nevada,city_large,641000,4052,2958,48624,4167,50000,5660,7.25,0.972,2.9,70.4,1595,1217,17,457,80,2244,1.32,30.0,numbeo
2010,Reno,Nevada,city_medium,264000,2758,2013,33096,2820,33840,3622,7.25,0.978,1.6,56.4,869,673,10,268,44,1289,1.56,24.4,bls_modeled
2011,Reno,Nevada,city_medium,264000,2861,2089,34332,2872,34460,3701,7.25,0.996,3.2,55.6,903,651,10,287,47,1293,1.62,22.8,bls_modeled
2012,Reno,Nevada,city_medium,264000,2764,2018,33168,2896,34750,3769,7.25,0.954,2.1,55.6,884,711,10,281,47,1349,1.5,25.7,bls_modeled
2013,Reno,Nevada,city_medium,264000,2794,2040,33528,2923,35080,3870,7.25,0.956,1.5,56.3,877,723,10,287,48,1370,1.49,25.9,bls_modeled
2014,Reno,Nevada,city_medium,264000,2897,2115,34764,2962,35540,3936,7.25,0.978,1.6,57.6,898,727,11,287,49,1396,1.52,25.1,bls_modeled
2015,Reno,Nevada,city_medium,264000,3065,2237,36780,3017,36200,4027,7.25,1.016,0.1,56.4,870,739,11,306,51,1429,1.57,24.1,bls_modeled
2016,Reno,Nevada,city_medium,264000,3048,2225,36576,3087,37040,4136,7.25,0.987,1.3,56.7,920,696,10,298,49,1358,1.64,22.8,bls_modeled
2017,Reno,Nevada,city_medium,264000,3153,2302,37836,3141,37690,4218,7.25,1.004,2.1,57.3,927,707,10,302,52,1378,1.67,22.4,bls_modeled
2018,Reno,Nevada,city_medium,264000,3210,2343,38520,3220,38640,4330,7.25,0.997,2.4,58.4,1002,757,12,318,52,1487,1.58,23.6,bls_modeled
2019,Reno,Nevada,city_medium,264000,3452,2520,41424,3318,39810,4458,7.25,1.04,1.8,58.6,940,782,12,327,54,1525,1.65,22.7,bls_modeled
2020,Reno,Nevada,city_medium,264000,3430,2504,41160,3496,41950,4692,7.25,0.981,1.2,58.9,987,794,11,310,56,1504,1.66,23.1,bls_modeled
2021,Reno,Nevada,city_medium,264000,3855,2814,46260,3813,45760,4855,7.25,1.011,4.7,57.8,1042,815,12,341,58,1584,1.78,21.1,bls_modeled
2022,Reno,Nevada,city_medium,264000,3928,2867,47136,3859,46310,5158,7.25,1.018,8.0,58.4,1105,858,13,364,62,1684,1.7,21.8,bls_modeled
2023,Reno,Nevada,city_medium,264000,4039,2948,48468,4005,48060,5456,7.25,1.008,4.1,58.5,1215,924,14,385,65,1800,1.64,22.9,bls_modeled
2024,Reno,Nevada,city_medium,264000,4213,3075,50556,4167,50000,5660,7.25,1.011,2.9,58.4,1145,974,14,391,63,1858,1.66,23.1,bls_modeled
2010,Los Angeles,California,megalopolis,3898000,3350,2446,40200,2820,33840,3622,7.25,1.188,1.6,90.8,2564,1954,16,411,88,2877,0.85,58.3,numbeo
2011,Los Angeles,California,megalopolis,3898000,3547,2589,42564,2872,34460,3701,7.25,1.235,3.2,91.6,2719,2013,16,433,92,2966,0.87,56.8,numbeo
2012,Los Angeles,California,megalopolis,3898000,3687,2692,44244,2896,34750,3769,7.25,1.273,2.1,91.6,2897,1994,17,443,94,2981,0.9,54.1,numbeo
2013,Los Angeles,California,megalopolis,3898000,3749,2737,44988,2923,35080,3870,7.25,1.283,1.5,92.0,2864,2151,16,445,95,3123,0.88,57.4,numbeo
2014,Los Angeles,California,megalopolis,3898000,3780,2759,45360,2962,35540,3936,7.25,1.276,1.6,92.6,2943,2097,17,447,100,3097,0.89,55.5,numbeo
2015,Los Angeles,California,megalopolis,3898000,3814,2784,45768,3017,36200,4027,7.25,1.264,0.1,92.7,2964,2110,17,438,100,3101,0.9,55.3,numbeo
2016,Los Angeles,California,megalopolis,3898000,3989,2912,47868,3087,37040,4136,7.25,1.292,1.3,93.3,2848,2077,17,453,100,3085,0.94,52.1,numbeo
2017,Los Angeles,California,megalopolis,3898000,3964,2894,47568,3141,37690,4218,7.25,1.262,2.1,93.1,3115,2141,17,471,103,3172,0.91,54.0,numbeo
2018,Los Angeles,California,megalopolis,3898000,4232,3089,50784,3220,38640,4330,7.25,1.314,2.4,92.6,2991,2140,18,463,108,3191,0.97,50.6,numbeo
2019,Los Angeles,California,megalopolis,3898000,4200,3066,50400,3318,39810,4458,7.25,1.266,1.8,93.0,3022,2318,18,484,107,3391,0.9,55.2,numbeo
2020,Los Angeles,California,megalopolis,3898000,4714,3441,56568,3496,41950,4692,7.25,1.348,1.2,94.5,3057,2213,18,503,110,3310,1.04,46.9,numbeo
2021,Los Angeles,California,megalopolis,3898000,5073,3703,60876,3813,45760,4855,7.25,1.33,4.7,94.9,3333,2305,19,522,113,3450,1.07,45.4,numbeo
2022,Los Angeles,California,megalopolis,3898000,5226,3815,62712,3859,46310,5158,7.25,1.354,8.0,94.1,3399,2540,20,572,117,3769,1.01,48.6,numbeo
2023,Los Angeles,California,megalopolis,3898000,5316,3881,63792,4005,48060,5456,7.25,1.327,4.1,94.6,3804,2634,21,585,129,3914,0.99,49.5,numbeo
2024,Los Angeles,California,megalopolis,3898000,5425,3960,65100,4167,50000,5660,7.25,1.302,2.9,94.3,3982,2764,23,596,127,4097,0.97,50.9,numbeo
2010,San Diego,California,city_large,1386000,3292,2403,39504,2820,33840,3622,7.25,1.167,1.6,88.6,1121,843,11,324,54,1545,1.56,25.6,numbeo
2011,San Diego,California,city_large,1386000,3353,2448,40236,2872,34460,3701,7.25,1.167,3.2,90.2,1195,858,12,328,58,1592,1.54,25.6,numbeo
2012,San Diego,California,city_large,1386000,3625,2646,43500,2896,34750,3769,7.25,1.252,2.1,89.2,1130,884,12,340,57,1631,1.62,24.4,numbeo
